mots	semgram	lemfreq	surfreq	répartition
quotidien	quotidien	3	0	
quotidien	quotidienne	3	3	
rabattre		3		
rabattre	(rabattre	3	2	
rabattre	(se rabattre	3	1	
raccrocher		3		
radiographier		3		
radis		3		
ragot		3		
rapatrier		3		
rassemblement		3		
reboucher		3		
rebrunir	(mécanique, égaliser	3		
recaler		3		
recette		3		
récital		3		
reconduire		3		
recoucher	(pronom.)	3		
redire		3		
refouler		3		
régaler		3		
régaler	(régaler	3	2	
régaler	(se régaler	3	1	
regret		3		
rejeter		3		
relâcher		3		
relâcher	(relâcher	3	2	
relâcher	(se relâcher	3	1	
relais		3		
relire		3		
remarque		3		
rembourré	(nom.)	3		
renard		3		
rencontre		3		
renfort		3		
renoncer		3		
réparateur		3		
réputation		3		
résiné		3		
resservir		3		
restitution		3		
restriction		3		
retraité		3		
revanche	(en revanche)	3		
revenu		3		
révolution		3		
revolver		3		
rhum		3		
rhumatisme		3		
rigolade		3		
rocher		3		
rococo		3		
rombière		3		
roseau		3		
rosse		3		
rôti		3		
ronet		3		
roupiller		3		
routière		3		
royal		3		
royauté		3		
rude		3		
rudement		3		
ruiner		3		
ruiner	(ruiner	3	2	
ruiner	(se ruiner	3	1	
ruisseau		3		
sage-femme		3		
sauce		3		
saumoné		3		
savon		3		
scier		3		
scout		3		
secteur		3		
selon		3		
semer		3		
sentier		3		
sérieusement		3		
siffler		3		
sifflet		3		
simplifier		3		
singulier		3		
singulier	singulier	3	1	
singulier	singulière	3	2	
soigneux		3		
solde		3		
solognot		3		
solognot	solognot	3	2	
solognot	solognote	3	1	
sonore		3		
sort		3		
sottise		3		
souffle		3		
souhaitable		3		
souplesse		3		
standard		3		
sténodactylo		3		
stop		3		
stylisation		3		
styliser		3		
successeur		3		
sucer		3		
sulfureux		3		
sulfureux	sulfureux	3	0	
sulfureux	sulfureuse	3	1	
sûreté		3		
surveillant		3		
surveillant	surveillant	3	1	
surveillant	surveillante	3	2	
suspendre		3		
sympathie		3		
symptôme		3		
tablier		3		
talus		3		
tacot		3		
teinturier		3		
teinturier	teinturier	3	1	
teinturier	teinturière	3	2	
temple		3		
tentative		3		
tessiture		3		
tétine		3		
timidité		3		
timoré		3		
tirelire		3		
tiroir		3		
tôle		3		
tombereau		3		
toquard		3		
toucher	(nom.)	3		
tradition		3		
traduire		3		
tragédie		3		
traînard		3		
traînard	traînard	3	0	
traînard	traînarde	3	3	
tramway		3		
transport		3		
transporter		3		
treuil		3		
truite		3		
trust		3		
tuile		3		
tulle		3		
vaguement		3		
valet		3		
vanité		3		
variété		3		
végétation		3		
veilleur		3		
veine		3		
vernis		3		
verrou		3		
vidange		3		
vierge		3		
vingtième		3		
violoniste		3		
virer	(chasser)	3		
vision visser		3		
vivement		3		
volant	(adj.)	3		
volontiers		3		
voter		3		
voyou		3		
watt		3		
wc		3		
zèle		3		
abandonné		2		
abattement		2		
abcès		2		
abondance		2		
aboutir		2		
aboyer		2		
abréger		2		
abreuvoir		2		
abruti		2		
abstrait		2		
absurde		2		
accidentellement		2		
accrocher		2		
acquérir		2		
actif		2		
actif	active	2	2	
actif	actif	2	0	
adhérent		2		
adjudant		2		
admissible		2		
adoptif		2		
adoptif	adoptif	2	1	
adoptif	adoptive	2	1	
adroit		2		
adulte		2		
aérogare		2		
aéronautique		2		
affecté		2		
affirmer		2		
affreusement		2		
affronter		2		
agence		2		
agglomération		2		
aggraver		2		
aggraver	(aggraver	2	1	
aggraver	(s'aggraver	2	1	
agneau		2		
agrég		2		
agrégatif	(nom.)	2		
agrégation		2		
agrément		2		
agriculteur		2		
aisément		2		
ajiste		2		
à la va vite		2		
albumine		2		
aligner		2		
allécher		2		
alliance		2		
allonger		2		
allouer		2		
alphabet		2		
alphabétique		2		
amabilité		2		
amant		2		
amas		2		
aménagement		2		
aménager		2		
amende		2		
amortir		2		
amputation		2		
ancienneté		2		
ânerie		2		
anesthésie		2		
angine		2		
animer		2		
annexe		2		
annuler		2		
applaudissement		2		
appoint		2		
approximativement		2		
appréciable		2		
approprier		2		
aquarelle		2		
arbitraire		2		
argenté		2		
argument		2		
armer		2		
arriéré		2		
arrondir		2		
arsenal		2		
arsenal	arsenal	2	1	
arsenal	arsenaux	2	1	
aspérité		2		
artifice		2		
artisan		2		
asiatique	(adj.)	2		
asperger		2		
asphalte		2		
aspirer		2		
assaisonner		2		
assassin		2		
assécher		2		
asséner		2		
assortir		2		
asthme		2		
atroce		2		
attabler	(pronom.)	2		
atteler		2		
attendant	(en)	2		
attendrir		2		
atterrissage		2		
attraction		2		
attristé		2		
aube		2		
aubergiste		2		
authentique		2		
autochtone	(nom.)	2		
automatisme		2		
autoritaire		2		
auvergnat		2		
avarice		2		
avenir		2		
azur	(côte d'azur)	2		
baisser	(pronom	2		
balayage		2		
balafré		2		
baladeuse	(nom, lampe)	2		
baie	(fenêtre)	2		
badaud		2		
ballot	(figuré)	2		
bamboula		2		
banlieusard		2		
banque		2		
baptistère		2		
bar		2		
barbare		2		
barbe		2		
barbe	(vieilles barbes	2	1	
barbe	(a la barbe des..	2	1	
barber	(pronom.)	2		
barder		2		
barrette		2		
bascule		2		
batterie	(de cuisine)	2		
batteur		2		
bavard		2		
bavard	bavard	2	1	
bavard	bavarde	2	1	
bêche		2		
bêcher		2		
bénévolement		2		
béret		2		
bestiaux		2		
bibi	(argot : moi)	2		
bicoque		2		
bidonner	(pronom.)	2		
bière		2		
bigarré		2		
billard	(argot)	2		
billard	(c'est du billard	2	1	
billard	(table d'opération	2	1	
bisette		2		
biscuit		2		
bisser		2		
blagueur		2		
blanchisserie		2		
bleusaille		2		
blinder	(blindé)	2		
blouse		2		
boeuf		2		
boisé		2		
bombardier		2		
bon	(pour de)	2		
bon sang		2		
bossu		2		
botanique		2		
bottin		2		
bouillir bouillon boulanger		2		
bouler		2		
boulonner	(travailler)	2		
bourrer		2		
boussole		2		
boy	(seulement au pluriel)	2		
bricoler		2		
bridge	(jeu)	2		
bringue		2		
brique	(couleur)	2		
briquer	(astiquer)	2		
bronchite		2		
bronze		2		
brousse		2		
brûlé	(nom.)	2		
bûcheron		2		
buvette		2		
cachot		2		
cadran		2		
cage		2		
caleçon		2		
calmant	(adj.)	2		
calmant	calmant	2	1	
calmant	calmante	2	1	
campeur		2		
canadienne	(vêtement.	2		
canalisation		2		
canapé		2		
candidate		2		
canon		2		
canon	(de fusil	2	1	
canon	(d'artillerie	2	1	
canton		2		
cantonner	(pronom.)	2		
capitaliste	(adj.)	2		
capot	(mécanique)	2		
capricieux		2		
captiver		2		
captivité		2		
carton-pâte		2		
cartouche		2		
cassé		2		
casse-pieds		2		
catastrophique		2		
cavalcade		2		
cavalier		2		
caverne		2		
censure		2		
centenaire		2		
cercle		2		
cercueil		2		
céréale		2		
cérémonie		2		
chahuter		2		
chair		2		
chanoine		2		
char	(blindé)	2		
charcuterie	(viande de porc)	2		
charpente		2		
chatelain		2		
chaudière		2		
chaussée		2		
chavirer		2		
chef-d'oeuvre		2		
chemisier	(vêtement	2		
chênette		2		
chevalier		2		
chier		2		
chiper		2		
chiquer		2		
chorale		2		
chou		2		
chou-chou		2		
chouette	(adj.)	2		
chou-fleur		2		
chrétien		2		
chronique	(nom.)	2		
ciment		2		
circonstance		2		
circulaire	(nom.)	2		
cirer		2		
cisaille		2		
civiliser		2		
clairement		2		
classeur		2		
classification		2		
clou	(des clous)	2		
cocagne		2		
cocher	(nom.)	2		
cocktail		2		
coffrer		2		
collaborateur		2		
collaborer		2		
collant		2		
collant	collant	2	1	
collant	collante	2	1	
collecter		2		
collectionneur		2		
colonial	(adj.)	2		
combat		2		
commercialement		2		
commettre		2		
communal		2		
communiquer		2		
compagne		2		
compagnonnage		2		
compensation		2		
compositeur		2		
comptant	(paiement	2		
concerter		2		
concorder		2		
concourir		2		
cône		2		
confettis	(argot balles do revolver)	2		
confirmer		2		
congestion		2		
congestionner		2		
connaisseur		2		
connexion		2		
conquérir		2		
consacré		2		
consentant		2		
consentant	consentant	2	1	
consentant	consentante	2	1	
consistant		2		
consistant	consistant	2	1	
consistant	consistante	2	1	
consommation		2		
consonne		2		
constance		2		
consumer		2		
contaminer		2		
conte		2		
contenance		2		
conter		2		
contour		2		
contremaître		2		
contremarche	(d'un escalier	2		
controverser		2		
convoi		2		
coquet		2		
coquet	coquet	2	1	
coquet	coquette	2	1	
corbeille		2		
corporation		2		
corporel		2		
cosmopolite		2		
costard		2		
coter		2		
côtoyer		2		
coulée	(nom.)	2		
coulisse	(mécanique)	2		
courbe	(nom.)	2		
coureur		2		
couronner		2		
courre	(chasse à..)	2		
coutil		2		
couturière		2		
cracher		2		
cran	(courage)	2		
crapule		2		
craquer		2		
crasse		2		
crevette		2		
crime		2		
criminel	(adj.)	2		
croisière		2		
crosse	(fusil)	2		
créance		2		
cru		2		
cruauté		2		
crypte		2		
cubage		2		
cueillir		2		
culasse		2		
culminant		2		
culte		2		
curiosité		2		
cuve		2		
cylindrique		2		
dames	(jeu de ..)	2		
dansante		2		
débarbouiller	(pronom.)	2		
débarras		2		
débloquer		2		
débraillé		2		
débrouillard		2		
décaniller		2		
décapotable		2		
décéder		2		
déceler		2		
décevoir		2		
décharge		2		
déchiffrer		2		
décision		2		
déclaration		2		
décoction		2		
décoratif		2		
dédaigner		2		
dégringoler		2		
dégueuler		2		
démancher		2		
démancher	(démancher	2	1	
démancher	(se démancher	2	1	
dépiter		2		
démobiliser		2		
dénonciation		2		
dépens		2		
déplaire		2		
dépliant		2		
déplorer		2		
dépoussiérage		2		
descendant	(nom.)	2		
déséquilibré		2		
déshabiller		2		
déshabilleuse		2		
désillusion		2		
désinfectant	(adj.)	2		
désinfecter		2		
dessécher	(pronom.)	2		
désoler		2		
dessinateur		2		
destiner		2		
désuet		2		
désuet	désuet	2	1	
désuet	désuette	2	1	
déterminé		2		
détraqué		2		
détruire		2		
deuil		2		
développement		2		
dévoiler		2		
dévouement		2		
dictée	(nom.)	2		
dicton		2		
différemment		2		
diffus		2		
diffus	diffus	2	1	
diffus	diffuse	2	1	
digest		2		
digue		2		
diligence	(voiture)	2		
diminution		2		
dindon		2		
diphtérie		2		
discipline		2		
discipliner		2		
disperser dissertation		2		
distillerie		2		
distribuer		2		
...dit	(le dit	2		
...dit	(du dit ... etc	2		
divorce		2		
dock		2		
documentaire	(nom.)	2		
dogme		2		
donné		2		
doreur		2		
douche		2		
douzaine		2		
douzième		2		
drapeau		2		
drapier	(blanchisseur de draps	2		
drogue		2		
duel		2		
duquel		2		
durée		2		
ébarber		2		
écaille		2		
échauffer		2		
échec		2		
échoir		2		
écriteau		2		
effacé		2		
égoïsme		2		
égoïste		2		
égout		2		
élan		2		
élargir		2		
électriquement		2		
éléphant		2		
élire		2		
éloge		2		
éloigné		2		
éloquent		2		
embarcadère		2		
embellir		2		
embrouiller		2		
déformation		2		
émerveiller		2		
émigrer		2		
emplacement		2		
empocher		2		
empoisonner		2		
emprunter		2		
ému		2		
encadrer		2		
enceinte		2		
encombrer		2		
encrasser		2		
énervé		2		
enfance		2		
enfouir		2		
engrais		2		
enjamber		2		
enquiquinement		2		
enrhumé		2		
enrichir	(pronom.)	2		
entente		2		
enthousiaste		2		
entrain		2		
entrant	(nom.)	2		
entrave		2		
entrepreneur		2		
entre temps		2		
envelopper		2		
envier		2		
épaissir		2		
épaule		2		
éperdument		2		
épicerie		2		
épineux		2		
épineux	épineux	2	1	
épineux	épineuse	2	1	
épluchure		2		
équivalent		2		
équivoque		2		
errer		2		
érudit		2		
escalader		2		
esclave		2		
esquimau		2		
essayage		2		
essor		2		
estamper		2		
esthétique		2		
étang		2		
état-civil		2		
éternel		2		
étonnant		2		
étrangler		2		
étroitement		2		
étui		2		
évacuation		2		
évadé	(nom.)	2		
évangile		2		
évasion		2		
éveillé		2		
éventail		2		
évoluer		2		
évolution		2		
exagération		2		
excès		2		
exigence		2		
exode		2		
expédition		2		
expertise		2		
explétif		2		
exploit		2		
express		2		
extérioriser	(pronom.)	2		
extrait		2		
extrémité		2		
fabuleux		2		
fabuleux	fabuleux	2	1	
fabuleux	fabuleuse	2	1	
fâcheux		2		
fâcheux	fâcheux	2	1	
fâcheux	fâcheuse	2	1	
facture		2		
fagot		2		
faillite		2		
famélique		2		
familier		2		
fantaisiste		2		
fatal		2		
fauché	(argot)	2		
féerique		2		
femelle	(adj.)	2		
ferme	(adj.)	2		
ferré		2		
fiançailles		2		
fichier		2		
fier	(pronom.)	2		
filière		2		
filtre		2		
finances		2		
fioriture		2		
flacon		2		
flageoler		2		
flancher		2		
flatter		2		
flèche		2		
fleurir		2		
fleuve		2		
foin		2		
folklorique		2		
fondamental		2		
fondamental	fondamental	2	1	
fondamental	fondamentale	2	1	
fondre		2		
forgeron		2		
formalité		2		
formellement		2		
fortifiant		2		
fouet		2		
fouetter		2		
fougasse		2		
fourgon		2		
fourgonnette		2		
fournée		2		
fourni	(obèse)	2		
franc	(historique)	2		
frémir s		2		
frigidaire		2		
fringale		2		
fripé		2		
froisser		2		
frousse		2		
fruste		2		
frustrer		2		
fuseau	(à filer)	2		
gâcher		2		
gaffe		2		
gaieté		2		
gaillardement		2		
gallo-romain	(seulement au féminin	2		
galon		2		
gamelle		2		
garçonnet		2		
gardes-chiourme		2		
garderie		2		
garnir		2		
gaucherie		2		
gaver		2		
gazogène		2		
gélatineux		2		
gencive		2		
généraliser		2		
généraliser	(généraliser	2	1	
généraliser	(se généraliser	2	1	
géométrique		2		
gerbe		2		
gestapo		2		
gigogne	(dans lit	2		
goinfrer	(pronom.)	2		
goupiller	(pronom.)	2		
glacé	(nom, terme de cuisine	2		
glande		2		
gésier		2		
gourmand		2		
graine		2		
graissage		2		
grammaticales		2		
graphologie		2		
grange		2		
gratification		2		
gratuit		2		
gravier		2		
greffer		2		
grelotter		2		
grenade	(arme	2		
grille		2		
grincer		2		
grondement		2		
grossir		2		
guimpe		2		
habile		2		
habitué		2		
hantise		2		
harnais		2		
haussières		2		
héréditaire		2		
heurter		2		
hospitalier		2		
humaine	(nom.)	2		
hurler		2		
iglou		2		
ignorant	(nom. et adj.)	2		
ignorant	ignorant	2	1	
ignorant	ignorante	2	1	
imaginaire		2		
immangeable		2		
immobile		2		
imperméable	(nom.)	2		
impotent		2		
impotent	impotent	2	1	
impotent	impotente	2	1	
imprimeur		2		
incendie		2		
incollable		2		
indigène	(nom.)	2		
individualiste		2		
individuellement		2		
industriellement		2		
infect		2		
infecter		2		
infiltrer	(pronom.)	2		
infiniment		2		
influencer		2		
informer		2		
infuse	(science)	2		
infuser		2		
initial		2		
injure		2		
inondation		2		
inonder		2		
insignifiant		2		
instituer		2		
instructeur		2		
insuffisamment		2		
insulter		2		
intacte		2		
intenable		2		
internement		2		
interner		2		
intonation		2		
invariablement		2		
inventaire		2		
invité	(nom.)	2		
irlandaise		2		
irlandais		2	0	
ironiquement		2		
irrespect		2		
islandais		2		
issue		2		
jaloux		2		
jaloux	jaloux	2	1	
jaloux	jalouse	2	1	
jazz		2		
à jeun		2		
jonc		2		
joue		2		
jouir		2		
journaux		2		
journalisme		2		
jumeaux		2		
jumelles		2		
jus		2		
justifier		2		
kimono		2		
lacet		2		
laid		2		
lainage		2		
laïque		2		
laissez-passer		2		
laitue		2		
lame		2		
lard		2		
latent		2		
latent	latent	2	1	
latent	latente	2	1	
lauréate		2		
laurier		2		
lavasse		2		
layette		2		
légende		2		
lessiveuse		2		
lèvre		2		
libraire		2		
librement		2		
lien		2		
lièvre		2		
ligature		2		
literie		2		
lors		2		
loufiat		2		
lourdement		2		
lyonnais		2		
lyrisme		2		
macchabée		2		
mâcher		2		
machinisme		2		
mâchonner		2		
magnétophone		2		
maigrichon		2		
maillot		2		
maîtriser		2		
malaise		2		
mâle		2		
malhonnête		2		
maniable		2		
manier		2		
marécageux		2		
marée		2		
margelle		2		
marié		2		
maritime		2		
marron		2		
marseillaise	(chant)	2		
martinet		2		
marxiste		2		
masseur		2		
masure		2		
mater		2		
mater	(mère)	2		
matricule		2		
mayonnaise		2		
méandre		2		
mécaniquement		2		
mécanisme		2		
méchanceté		2		
meeting		2		
mélodramatique		2		
menacer		2		
ménager		2		
méningite		2		
menton		2		
mépriser		2		
méridional		2		
mérovingien		2		
méticuleux		2		
métisse		2		
métronome		2		
métropolitain	(personne	2		
microphone		2		
mijoter		2		
militariste		2		
minéralogie		2		
miniature		2		
mobile		2		
modeste		2		
modifier		2		
moissonneuse		2		
molette		2		
môme		2		
mondial		2		
mondial	mondial	2	1	
mondial	mondiale	2	1	
monseigneur		2		
monstre		2		
montagneux		2		
monticule		2		
monument		2		
moralisme		2		
morceler		2		
morne		2		
morvandiau		2		
mosquée		2		
motrice	(adj.)	2		
motif		2		
motoriser		2		
moustache		2		
mouvoir		2		
moyen-age		2		
moyennant		2		
muet		2		
multiple		2		
mûrir		2		
musicalité		2		
mutuel		2		
mystérieux		2		
nage		2		
naïf		2		
natte		2		
navigation		2		
nécessairement		2		
nécessité		2		
niche		2		
noble		2		
noblesse		2		
noix		2		
nomination		2		
normand		2		
normand	normand	2	1	
normand	normande	2	1	
notaire		2		
notion		2		
nourri	(applaudissements	2		
nourries		2		
noyau		2		
nuire		2		
objectif		2		
obligation		2		
obligatoire		2		
occasionner		2		
occidental		2		
occupant		2		
occurrence		2		
ocre		2		
oeillet		2		
ondulation		2		
opérer		2		
opposer		2		
optimiste		2		
oratorio		2		
ordinairement		2		
outre		2		
ouvrage		2		
ouvrier	(adj.)	2		
paie		2		
paiement		2		
pain d'épice		2		
palace		2		
place		2		
palier		2		
palmier		2		
pancarte		2		
panorama		2		
pantomime		2		
paquebot		2		
paradichlorobenzène		2		
paranoïaque		2		
parapluie		2		
paravent		2		
parcourir		2		
pare-brise		2		
paresse		2		
parleur		2		
paroi		2		
partition		2		
parvenir		2		
pas-de-porte		2		
passage à niveau		2		
passant	(nom.)	2		
passant	passant	2	1	
passant	passante	2	1	
passé	(nom.)	2		
passe-temps		2		
passion		2		
pastille		2		
pathétique		2		
patin		2		
pâturage peaux-rouges		2		
pêche	(fruit)	2		
peigné	(tissu)	2		
peler		2		
pendule	(fém.)	2		
pépie		2		
pépin		2		
perche		2		
perdant		2		
perdrix		2		
périmètre		2		
périssoire		2		
permanence		2		
pernod		2		
perpète	(à ...)	2		
perroquet		2		
persévérance		2		
persévérer		2		
perspective		2		
pète-sec		2		
petite-nièce		2		
pétition		2		
pétrin	(embarras) pétrole	2		
phlébite		2		
phonétique		2		
phonographe		2		
phosphate		2		
piastre		2		
plage		2		
piloter		2		
piqueur		2		
plaider		2		
plantation		2		
plâtrier		2		
plonger		2		
pommer	(argot)	2		
pognon		2		
poing		2		
pointu		2		
poliment		2		
politesse		2		
pommade		2		
pomper		2		
porcelet		2		
porridge		2		
portail		2		
portée	(à la ...de)	2		
pouce		2		
poursuite		2		
prairie		2		
précédemment		2		
précéder		2		
précision		2		
précipitamment		2		
précoce		2		
prédicateur		2		
prédire		2		
prélever		2		
prématurément		2		
préparatoire		2		
préserver		2		
président		2		
présomption		2		
pressentiment		2		
pressentiment		2		
présumer		2		
prêt	(nom.)	2		
prétention		2		
prétexte		2		
primer		2		
primeur		2		
primitif		2		
prison		2		
profit		2		
progressif		2		
progressif	progressif	2	1	
progressif	progressive	2	1	
progressiste		2		
propagande		2		
proportionner		2		
prosterner	(pronom.)	2		
protestation		2		
prune		2		
pruneau		2		
prussien		2		
psychanalyse		2		
puer		2		
pulvérisateur		2		
punition		2		
qualifier		2		
quincaillier		2		
quinconce		2		
rabaisser		2		
raccourcir		2		
racler		2		
radar		2		
radeau		2		
radin		2		
raffinement		2		
rafraîchissement		2		
raisinet		2		
ralenti		2		
ralentissement		2		
rangée	(nom.)	2		
ranimer		2		
râper		2		
rapprochement		2		
ras	(nom. et adj.)	2		
ras	ras	2	1	
rase	rase	2	1	
rase-mottes		2		
raté		2		
ravir		2		
ravissant		2		
ravitailler	(pronom.)	2		
réactionnaire		2		
réalisation		2		
rebâtir		2		
rebuter		2		
réception		2		
recharger		2		
récidiviste		2		
réciproquement		2		
recoller		2		
recommandable		2		
récompenser		2		
reconstruction		2		
record		2		
recoudre		2		
recouper		2		
récrire		2		
redevenir		2		
réfection		2		
réflexe		2		
réfractaire		2		
réfugié		2		
régionalisme		2		
régisseur		2		
réglable		2		
reine-marguerite		2		
relater		2		
relayer		2		
remède		2		
remord		2		
remplacement		2		
remplissage		2		
remporter		2		
rémunérer		2		
renforcer		2		
rente		2		
renverse	(à la)	2		
repasseur		2		
repenser		2		
repentir	(pronom.)	2		
reportage		2		
résider		2		
résistant		2		
résister		2		
respectueusement		2		
respectueux		2		
respiratoire		2		
ressouder	(pronom.)	2		
ressource		2		
restauration		2		
retoucher		2		
retrousser		2		
retrousser		2	1	
retrousser	(décéder	2		
retrousser	(argot	2	1	
réveillonner		2		
révolter	(pronom.)	2		
révolutionnaire	(adj.)	2		
rez-de-chaussée		2		
rhume		2		
rigueur		2		
rizière		2		
robinet		2		
rodage		2		
roder	(voiture)	2		
romantique		2		
rompre		2		
ronde	(nom.)	2		
rondelle		2		
ruche		2		
ruelle		2		
rugby		2		
sable		2		
sabot		2		
sadique		2		
saisir		2		
salaire		2		
salé		2		
salopard		2		
saloperie		2		
sang-froid		2		
sarrasin		2		
saucisse		2		
sauvette		2		
scinder		2		
seconder		2		
secouriste		2		
secousse		2		
section		2		
seigle		2		
seigneurial		2		
sein		2		
sel		2		
selle		2		
semblant		2		
semelle		2		
sentinelle		2		
seriner		2		
seringue		2		
serment		2		
signalement		2		
significatif		2		
silentbloc		2		
simplicité		2		
sincèrement		2		
site		2		
sitôt que		2		
skieur		2		
snob		2		
soixantaine		2		
solidement		2		
solidité		2		
soliste		2		
sommeil		2		
sommier		2		
sonate		2		
souffrance		2		
soupape		2		
soutenir		2		
soutien-gorge		2		
spectateur		2		
spontané		2		
stabilisation		2		
stable		2		
sténographie		2		
sténotypie		2		
successif		2		
successivement		2		
sud-est		2		
sueur		2		
superficiel		2		
superstition		2		
suppléer		2		
supportable		2		
surajouter		2		
surlendemain		2		
surnom		2		
survoler		2		
symbole		2		
sympathiser		2		
synchronisé		2		
syrien		2		
tablette		2		
tabou		2		
taffetas		2		
talent		2		
tamponner		2		
tape		2		
tapisserie		2		
tapissier		2		
tatiller		2		
taux		2		
teint		2		
terne		2		
terreau		2		
terroir		2		
testicule		2		
teuf-teuf		2		
textile	(adj.)	2		
thermostat		2		
thorax		2		
tien		2		
toiture		2		
totalité		2		
toupet	(fig.)	2		
tour	(fém.)	2		
tourelle		2		
tourmenter		2		
tourneur		2		
tournevis		2		
tousser		2		
toutefois		2		
trait		2		
traite		2		
traité		2		
traître		2		
tranquillité		2		
transformation		2		
transi		2		
transit		2		
transmettre		2		
troisième		2		
trier		2		
trilogie		2		
tripaille		2		
trompette		2		
trouble		2		
trousser		2		
turc		2		
tyrolienne	(nom.)	2		
unir		2		
univers		2		
urgent		2		
utilitaire		2		
vachement		2		
valet de chambre		2		
valse		2		
vanter		2		
varice		2		
vase	(fém.)	2		
vénérer		2		
vengeance		2		
verbal		2		
verglas		2		
vérification		2		
vérifier		2		
vertige		2		
vestiaire		2		
vexant		2		
vigoureusement		2		
vinaigre		2		
violette	(nom.)	2		
violoncelle		2		
viscères		2		
volcan		2		
voltiger		2		
vulgairement		2		
zinnia		2		
zoo		2		
a.b.c.		1		
abaissement		1		
abaisser	(pronom.)	1		
abandon		1		
abécédaire		1		
abondamment		1		
abattage		1		
abbé		1		
abdomen		1		
abdominale		1		
abeille		1		
aboutissant		1		
aboutissement		1		
à bout portant		1		
abricot		1		
à brûle pourpoint		1		
abrutir	(pronom.)	1		
absenter	(pronom.)	1		
abusif		1		
abusif	abusif	1	0	
abusif	abusive	1	1	
académicien		1		
accéder		1		
accéléré		1		
accentuer		1		
acceptable		1		
accidentel		1		
accordéon		1		
accroc		1		
accrochage		1		
accrocher	(pronom.)	1		
accueil		1		
accueillant		1		
acharnement		1		
acharner	(pronom.)	1		
acheminer		1		
achoppement		1		
acide	(nom.)	1		
à-coups	(nom.)	1		
acquittement		1		
acquitter	(pronom.)	1		
addition		1		
adéquat		1		
adéquat	adéquat	1	0	
adéquat	adéquate	1	1	
adhérer		1		
adieu		1		
adjudication		1		
administrativement		1		
admirable		1		
admiration		1		
adonner	(pronom.)	1		
adoration		1		
adresse	(habileté)	1		
adversaire		1		
affable		1		
affaiblir		1		
affaisser	(pronom.)	1		
affamer		1		
affectation		1		
affichage		1		
affilée	(d')	1		
affleurer		1		
afflux		1		
affolé		1		
affolement		1		
affût	(de canon)	1		
afin de		1		
africain	(adj.)	1		
africain	africain 	1	0	
africain	africaine	1	1	
agaçant		1		
agacé		1		
agacer		1		
agape		1		
agio		1		
agité		1		
agrafer		1		
agrandir	(pronom.	1		
agréer		1		
agrégatif	(adj.)	1		
agrégé	(nom.)	1		
agrémenter		1		
agressif		1		
agressif	agressif	1	0	
agressif	agressive	1	1	
ahuri		1		
aide-comptable		1		
aïeul		1		
aiguillage		1		
aiguille		1		
aiguiseur		1		
aimablement		1		
aire		1		
alarmer	(pronom.)	1		
alcoolique	(adj.)	1		
alésage		1		
algèbre		1		
aliéniste		1		
aliment		1		
alimentaire		1		
alimenter		1		
alité		1		
allié	(parent)	1		
allonger	(pronom.)	1		
allumage		1		
allusion		1		
alouette		1		
alpin		1		
alpiniste		1		
alsacien	(nom.)	1		
altitude		1		
aluminium amalgame		1		
ambassade		1		
ambiguïté		1		
ambitieux		1		
ambition		1		
ambitionner		1		
ambulant		1		
amenuisement		1		
amiable	(à l'...)	1		
amical		1		
amiral		1		
amorce		1		
amortisseur	(nom.)	1		
ampère		1		
amphibie		1		
amphithéâtre		1		
ampleur		1		
amplification		1		
ampoule	(cloque)	1		
analyser		1		
anarchiste		1		
ancêtre		1		
ancrer		1		
andouille	(fig.)	1		
anecdote		1		
ange		1		
angelot		1		
angoisse		1		
anguleux		1		
anguleux	anguleux	1	0	
anguleux	anguleuse	1	1	
anicroche		1		
animation		1		
animisme		1		
anis		1		
ankyloser	(pronom.)	1		
annexer		1		
annihiler		1		
annonceur		1		
anodin		1		
anormalité		1		
antérieur		1		
antériorité		1		
anticommuniste		1		
antiparasiter		1		
anti-populisme		1		
anti-troll	(v.troll).	1		
apaiser	(pronom )	1		
apéro		1		
aphone		1		
aphteuse	(fièvre)	1		
apostolat		1		
apparenter	(pronom.)	1		
apparition		1		
appauvrir	(pronom)	1		
appétissant		1		
appointé		1		
apport		1		
approprié		1		
approvisionner	(pronom	1		
a priori		1		
arboriculteur		1		
arboriculture		1		
archaïsme		1		
archéologue		1		
archet		1		
archevêque		1		
architectural		1		
architectural	architectural	1	0	
architectural	architecturaux	1	1	
ardeur		1		
à rebours		1		
arêtes		1		
aristocratique		1		
armé	(béton)	1		
armistice		1		
armoricain		1		
armoricain	armoricain	1	0	
armoricain	armoricaine	1	1	
aromates		1		
arpète		1		
arrêté		1		
arrondi		1		
arsenic		1		
arthrite		1		
artificiellement		1		
artillerie		1		
ascenseur		1		
ascension		1		
asile		1		
assaillir		1		
assainir		1		
assassiner		1		
assembler	(pronom.)	1		
auscultation		1		
assimilable		1		
assimiler		1		
assises	(cour d')	1		
association assommant		1		
assurance	(confiance en soi	1		
astiquer		1		
astucieux		1		
atomique		1		
atout		1		
attachant		1		
attachant	attachant	1	0	
attachant	attachante	1	1	
attachement		1		
attelage		1		
attelle		1		
attente		1		
attenter		1		
attentif		1		
attestation		1		
attirail		1		
attirance		1		
attitrer		1		
attrape		1		
attrape-nigaud		1		
audace		1		
auditionnable		1		
auditoire		1		
aumône		1		
auditoire		1		
auréole		1		
auscultation		1		
auspice	(ou auspices)	1		
autocensure		1		
automobiliste		1		
autopsie		1		
autorisation		1		
auto-stopiste		1		
